capture_sequence,exchange_ts,exchange_ts_ms,local_receive_ts,monotonic_ns,venue_symbol,symbol,side,level,price,size,best_bid,best_ask,spread_bps,bid_depth_notional,ask_depth_notional,liquidation_orders,order_count,source_record_id
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,1,63767.8,487.03,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,23,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:1
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,2,63767.7,0.01,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,1,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:2
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,3,63767,0.02,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,2,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:3
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,4,63766.9,0.01,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,1,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:4
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,5,63766.8,0.14,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,1,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:5
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,6,63766.7,0.01,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,1,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:6
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,7,63766.6,0.01,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,1,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:7
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,8,63766.5,0.02,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,2,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:8
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,9,63765.9,0.01,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,1,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:9
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,10,63765.6,0.01,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,1,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:10
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,11,63765.4,0.01,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,1,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:11
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,12,63765.2,0.15,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,1,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:12
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,13,63764.9,0.01,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,1,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:13
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,14,63764.5,0.01,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,1,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:14
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,15,63764.4,0.01,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,1,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:15
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,16,63763.9,0.03,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,3,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:16
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,17,63763.6,0.32,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,2,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:17
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,18,63763.4,0.05,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,4,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:18
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,19,63763.3,1.58,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,2,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:19
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,20,63763,77.55,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,1,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:20
1,2026-06-20T17:36:39.756000Z,1781976999756,2026-06-20T17:36:39Z,1604555667242045,BTC-USDT-SWAP,BTCUSDT,bid,21,63762.9,0.03,63767.8,63767.9,0.015681883582172644,111720239.19399999,81735602.972,0,2,okx-aligned-book:BTC-USDT-SWAP:1:1781976999756:bid:21
